Rank (2021),Municipality,Province,Municipal status,Population (2021),Population (2016),Growth rate (2016-2021),"Land-area (km2, 2021)"
60,Lethbridge,Alberta,City,"98,406","92,729",6.10%,121.12
61,Kamloops,British Columbia,City,"97,902","90,280",8.40%,297.93
62,Saint-Jean-sur-Richelieu,Quebec,Ville,"97,873","95,114",2.90%,226.93
63,Niagara Falls,Ontario,City,"94,415","88,071",7.20%,210.25
64,Cape Breton,Nova Scotia,Regional municipality,"93,694","94,285",-0.60%,"2,419.70"
65,Chilliwack,British Columbia,City,"93,203","83,788",11.20%,261.34
66,Victoria,British Columbia,City,"91,867","85,792",7.10%,19.45
67,Brossard,Quebec,Ville,"91,525","85,721",6.80%,45.19
68,Maple Ridge,British Columbia,City,"90,990","82,256",10.60%,267.82
69,North Vancouver,British Columbia,District municipality,"88,168","85,649",2.90%,160.66
70,Newmarket,Ontario,Town,"87,942","84,224",4.40%,38.5
71,Repentigny,Quebec,Ville,"86,100","84,285",2.20%,61.52
72,Peterborough,Ontario,City,"83,651","81,032",3.20%,64.76
73,Saint-Jerome,Quebec,Ville,"80,213","74,346",7.90%,90.18
74,Moncton,New Brunswick,City,"79,470","71,889",10.50%,140.67
75,Drummondville,Quebec,Ville,"79,258","75,423",5.10%,247.11
76,Kawartha Lakes,Ontario,City,"79,247","75,423",5.10%,"3,033.66"
77,New Westminster,British Columbia,City,"78,916","70,996",11.20%,15.62
78,Prince George,British Columbia,City,"76,708","74,003",3.70%,316.74
79,Caledon,Ontario,Town,"76,581","66,502",15.20%,688.82
80,Airdrie,Alberta,City,"74,100","61,581",20.30%,84.39
81,Wood Buffalo,Alberta,Specialized municipality,"72,326","71,594",1.00%,"60,843.88"
82,Sault Ste. Marie,Ontario,City,"72,051","73,368",-1.80%,221.99
83,Sarnia,Ontario,City,"72,047","71,594",0.60%,163.9
84,Saint John,New Brunswick,City,"69,895","67,575",3.40%,315.59
85,Granby,Quebec,Ville,"69,025","66,222",4.20%,152.69
86,St. Albert,Alberta,City,"68,232","65,589",4.00%,47.84
87,Norfolk County,Ontario,City,"67,490","64,044",5.40%,"1,597.68"
88,Grande Prairie,Alberta,City,"64,141","63,166",1.50%,132.71
89,Medicine Hat,Alberta,City,"63,271","63,260",0.00%,111.97
90,Fredericton,New Brunswick,City,"63,116","58,721",7.50%,133.93
91,Halton Hills,Ontario,Town,"62,951","61,161",2.90%,276.81
92,Aurora,Ontario,Town,"62,057","55,445",11.90%,50
93,Port Coquitlam,British Columbia,City,"61,498","58,612",4.90%,29.16
94,Mirabel,Quebec,City,"61,108","50,513",21.00%,484.09
95,Blainville,Quebec,Ville,"59,819","56,863",5.20%,54.97
96,North Vancouver,British Columbia,City,"58,120","52,898",9.90%,11.83
97,Saint-Hyacinthe,Quebec,Ville,"57,239","55,648",2.90%,188.85
98,Welland,Ontario,City,"55,750","52,293",6.60%,81.16
99,Belleville,Ontario,City,"55,071","50,716",8.60%,247.15
100,North Bay,Ontario,City,"52,662","51,553",2.20%,315.53
